Brand,Processor,Operating_System,Storage,RAM,Touch_Screen,Price
ASUS,Core i5,Windows 11 Home,512,8,0,47990
HP,Core i5,Windows 11 Home,512,16,1,88690
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
HP,Core i5,Windows 11 Home,512,16,0,53990
HP,Core i5,Windows 11 Home,1000,16,0,66999
MSI,Core i5,Windows 11 Home,2000,16,0,74990
Infinix,Celeron Quad Core,Windows 11 Home,512,8,0,23990
HP,Core i5,Windows 11 Home,512,8,0,49990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
ASUS,Ryzen 5 Hexa Core,Windows 11 Home,1000,8,1,58990
DELL,Core i5,Windows 11 Home,512,8,1,43990
SAMSUNG,Core i7,Windows 11 Home,512,16,0,89990
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Core i5,Windows 11 Home,512,8,0,52990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,1000,16,0,49990
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i5,Windows 11 Home,512,16,0,53990
SAMSUNG,Core i5,Windows 11 Home,512,16,0,74990
DELL,Core i3,Windows 10,256,8,0,34990
Infinix,Core i7,Windows 11 Home,1000,16,0,40990
ASUS,Ryzen 3 Quad Core,Windows 11 Home,512,8,0,34499
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i5,Windows 11 Home,512,8,0,49990
Infinix,Core i3,Windows 11 Home,512,8,0,27490
DELL,Core i5,Windows 11 Home,512,8,0,53480
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,MediaTek Kompanio 1200,Chrome,256,8,0,35990
ASUS,Ryzen 9 Octa Core,Windows 10 Home,1000,16,0,89990
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i5,Windows 11 Home,512,16,0,53990
WINGS,Core i5,Windows 11 Home,512,8,0,27990
Lenovo,Ryzen 3 Quad Core,Windows 11 Home,512,8,0,29800
ASUS,Celeron Dual Core,Windows 11 Home,1000,8,0,24990
HP,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,66990
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i5,Windows 11 Home,512,8,0,49990
Infinix,Core i7,Windows 11 Home,1000,16,0,40990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,45490
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
HP,Core i5,Windows 11 Home,512,16,0,50999
HP,Celeron Dual Core,Chrome,128,4,0,22100
Lenovo,Celeron Dual Core,DOS,256,8,0,21990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,67990
HP,Core i5,Windows 11 Home,512,16,0,66990
HP,Core i5,Windows 11 Home,512,8,0,53990
Infinix,Celeron Quad Core,Windows 11 Home,128,4,0,20990
Acer,Ryzen 3 Quad Core,Windows 11 Home,256,8,0,27990
HP,Core i3,Windows 11 Home,512,8,0,38990
DELL,Core i3,Windows 11 Home,512,8,1,43990
Acer,Core i5,Windows 11 Home,512,16,0,64990
ASUS,Core i5,Windows 11 Home,512,16,0,59500
Infinix,Core i5,Windows 11 Home,512,16,0,38990
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i5,Windows 11 Home,512,16,0,53990
ZEBRONICS,Core i5,Windows 11 Home,512,16,0,32990
Infinix,Core i3,Windows 11 Home,256,8,0,28790
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,53990
Primebook,MediaTek MT8788,Prime OS,128,4,0,16990
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i5,Windows 11 Home,512,16,0,53990
Lenovo,Ryzen 7 Octa Core,Windows 11 Home,1000,16,0,99990
Acer,Core i7,Windows 11 Home,512,16,0,119990
HP,Celeron Dual Core,Chrome,128,4,0,25935
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i5,Windows 11 Home,512,8,0,49990
ZEBRONICS,Core i3,Windows 11 Home,512,8,0,31990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,1000,16,1,84990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
ASUS,Ryzen Z1 HexaCore,Windows 11 Home,512,16,1,52990
Infinix,Core i5,Windows 11 Home,512,16,0,37990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,1000,16,0,81990
MSI,Core i7,Windows 11 Home,4000,16,0,93990
HP,Core i5,Windows 11 Home,512,16,0,66990
HP,Core i5,Windows 11 Home,512,8,0,53990
HP,Core i7,Windows 11 Home,512,16,0,68373
Lenovo,Celeron Dual Core,Windows 11 Home,256,8,0,26990
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Core i5,Windows 11 Home,512,8,0,46990
ASUS,Ryzen 5 Hexa Core,Windows 11 Home,512,8,0,50990
